happiness_score,gdp_per_capita,freedom,corruption,generosity,year
7.00600004196167,1.48709726333618,0.567766189575195,0.221060365438461,0.316472321748734,2017
6.99300003051758,1.54625928401947,0.505740523338318,0.135638788342476,0.392578780651093,2017
6.97700023651123,1.53570663928986,0.573110342025757,0.29838815331459,0.42785832285881,2017
6.95100021362305,1.48792338371277,0.562511384487152,0.276731938123703,0.336269170045853,2017
6.89099979400635,1.46378076076508,0.539770722389221,0.251343131065369,0.231503337621689,2017
6.86299991607666,1.74194359779358,0.59662789106369,0.31883442401886,0.283180981874466,2017
6.71400022506714,1.44163393974304,0.508190035820007,0.265428066253662,0.492774158716202,2017
6.65199995040894,1.25278460979462,0.376895278692245,0.0822879821062088,0.326662421226501,2017
6.64799976348877,1.62634336948395,0.60834527015686,0.324489563703537,0.3609419465065,2017
6.63500022888184,1.10735321044922,0.437453746795654,0.111092761158943,0.16234989464283,2017
6.60900020599365,1.35268235206604,0.490946173667908,0.0368729270994663,0.0881067588925362,2017
6.59899997711182,1.18529546260834,0.494519203901291,0.059739887714386,0.109457060694695,2017
6.57800006866455,1.15318381786346,0.412730008363724,0.132774114608765,0.120990432798862,2017
6.57200002670288,1.69227766990662,0.549840569496155,0.46430778503418,0.345965981483459,2017
6.52699995040894,1.34327983856201,0.588767051696777,0.153066068887711,0.574730575084686,2017
6.4539999961853,1.21755969524384,0.57939225435257,0.178061872720718,0.175096929073334,2017
6.4539999961853,0.872001945972443,0.531310617923737,0.0772232785820961,0.283488392829895,2017
6.4520001411438,1.23374843597412,0.550026834011078,0.070983923971653,0.21055693924427,2017
6.44199991226196,1.43092346191406,0.470222115516663,0.172502428293228,0.129762306809425,2017
6.42399978637695,1.12786877155304,0.580200731754303,0.0316127352416515,0.572123110294342,2017
6.42199993133545,1.43362653255463,0.361466586589813,0.0638292357325554,0.258360475301743,2017
6.40299987792969,1.38439786434174,0.408781230449677,0.0709140971302986,0.190133571624756,2017
6.375,1.87076568603516,0.604130983352661,0.439299255609512,0.330473870038986,2017
6.35699987411499,1.07062232494354,0.477487415075302,0.0466687418520451,0.149014472961426,2017
6.3439998626709,1.53062355518341,0.449750572443008,0.27343225479126,0.147616013884544,2017
6.16800022125244,1.36135590076447,0.518630743026733,0.0089648161083459,0.325296461582184,2017
6.10500001907349,1.63295245170593,0.496337592601776,0.215159550309181,0.228289797902107,2017
6.09800004959106,1.32539355754852,0.295817464590073,0.0242108516395092,0.136544480919838,2017
6.08699989318848,1.48841226100922,0.536746919155121,0.257042169570923,0.172668486833572,2017
6.08400011062622,1.29121541976929,0.402264982461929,0.0656007081270218,0.416608929634094,2017
6.07100009918213,0.737299203872681,0.447551846504211,0.130687981843948,0.301674216985703,2017
6.00799989700317,1.00082039833069,0.4551981985569,0.140134647488594,0.150112465023994,2017
6.00299978256226,0.909784495830536,0.432452529668808,0.0899809598922729,0.0782579854130745,2017
5.97300004959106,1.29178786277771,0.520342111587524,0.0593078061938286,0.158465966582298,2017
5.97100019454956,0.786441087722778,0.658248662948608,0.246528223156929,0.415983647108078,2017
5.96400022506714,1.39506661891937,0.256450712680817,0.0280280914157629,0.17278964817524,2017
5.96299982070923,1.28177809715271,0.373783111572266,0.0329628810286522,0.0522638224065304,2017
5.95599985122681,0.907975316047668,0.547509372234344,0.0965810716152191,0.240015640854836,2017
5.92000007629395,1.41691517829895,0.505625545978546,0.163760736584663,0.12057276815176,2017
5.90199995040894,1.31458234786987,0.234231784939766,0.0118656428530812,0.010164656676352,2017
5.87200021743774,1.09186446666718,0.233335807919502,0.146096110343933,0.0694366469979286,2017
5.84999990463257,1.26074862480164,0.325707912445068,0.0738427266478539,0.153074786067009,2017
5.83799982070923,1.40167844295502,0.257921665906906,0.0632826685905457,0.206674367189407,2017
5.83799982070923,0.728870630264282,0.240729048848152,0.0100912861526012,0.208779126405716,2017
5.82499980926514,1.21768391132355,0.457003742456436,0.00438790069893,0.133519917726517,2017
5.82299995422363,0.833756566047668,0.558732926845551,0.0604777261614799,0.22556072473526,2017
5.82200002670288,1.13077676296234,0.41827192902565,0.259270340204239,0.24992498755455,2017
5.81899976730347,1.28455626964569,0.437454283237457,0.119282886385918,0.201964423060417,2017
5.80999994277954,1.3469113111496,0.471203625202179,0.155353352427483,0.266845703125,2017
5.75799989700317,1.3412059545517,0.572575807571411,0.0451289787888527,0.242649093270302,2017
5.71500015258789,1.03522527217865,0.450002878904343,0.0470490865409374,0.126819714903831,2017
5.62900018692017,1.18939554691315,0.491247326135635,0.0421815551817417,0.360933750867844,2017
5.62099981307983,1.35593807697296,0.355111539363861,0.0412379764020443,0.271254301071167,2017
5.61100006103516,1.32087934017181,0.479131430387497,0.183248922228813,0.0988908112049103,2017
5.56899976730347,1.15655755996704,0.295400261878967,0.156313821673393,0.15513750910759,2017
5.52500009536743,1.10180306434631,0.465733230113983,0.0926102101802826,0.152073666453362,2017
5.5,1.19827437400818,0.300740599632263,0.0996715798974037,0.0466930419206619,2017
5.49300003051758,0.932537317276001,0.473507791757584,0.091065913438797,0.224150657653809,2017
5.47200012207031,1.55167484283447,0.490968644618988,0.293933749198914,0.374465793371201,2017
5.42999982833862,0.85769921541214,0.585214674472809,0.0993318930268288,0.193513423204422,2017
5.39499998092651,1.06931757926941,0.208715528249741,0.0409037806093693,0.220125883817673,2017
5.33599996566772,0.991012394428253,0.418421149253845,0.11980327218771,0.172170460224152,2017
5.32399988174438,1.2860119342804,0.175863519310951,0.0366369374096394,0.0784016624093056,2017
5.31099987030029,0.925579309463501,0.474307239055634,0.0552677810192108,0.233818337321281,2017
5.29300022125244,1.22255623340607,0.255772292613983,0.0431031100451946,0.248002976179123,2017
5.27899980545044,0.951484382152557,0.260287940502167,0.0574716180562973,0.319931447505951,2017
5.27299976348877,1.08116579055786,0.472787708044052,0.0227942746132612,0.0288068410009146,2017
5.26900005340576,0.72688353061676,0.23521526157856,0.124348066747189,0.315446019172668,2017
5.26200008392334,0.995538592338562,0.443323463201523,0.0153171354904771,0.611704587936401,2017
5.25,1.12843120098114,0.153997123241425,0.0644911229610443,0.0650196298956871,2017
5.23699998855591,1.12112903594971,0.194989055395126,0.0881741940975189,0.197911024093628,2017
5.2350001335144,0.878114581108093,0.408158332109451,0.0877631828188896,0.0322099551558495,2017
5.23400020599365,1.15360176563263,0.398155838251114,0.180987507104874,0.0452693402767181,2017
5.23000001907349,1.07937383651733,0.55258983373642,0.113945253193378,0.186967849731445,2017
5.22700023651123,1.28948748111725,0.0957312509417534,0.04328977689147,0.0,2017
5.22499990463257,1.07498753070831,0.288515985012054,0.037513829767704,0.264450758695602,2017
5.19500017166138,1.3151752948761,0.498465299606323,0.0158694516867399,0.0951027125120163,2017
5.18200016021729,0.982409417629242,0.204403176903725,0.0,0.328867495059967,2017
5.18100023269653,0.730573117733002,0.348079860210419,0.0733454525470734,0.236188873648643,2017
5.17500019073486,1.06457793712616,0.325905978679657,0.0602777935564518,0.25376096367836,2017
5.15100002288818,0.0226431842893362,0.602126955986023,0.282410323619843,0.291631311178207,2017
5.07399988174438,0.788547575473785,0.571055591106415,0.0876332372426987,0.234968051314354,2017
5.07399988174438,0.783756256103516,0.394952565431595,0.0261215660721064,0.230947196483612,2017
5.04099988937378,0.524713635444641,0.471566706895828,0.146377146244049,0.248997643589973,2017
5.01100015640259,0.885416388511658,0.501537680625916,0.173380389809608,0.474054545164108,2017
5.00400018692017,0.596220076084137,0.454943388700485,0.0394391790032387,0.42858037352562,2017
4.96199989318848,0.479820191860199,0.440305948257446,0.0729755461215973,0.394096165895462,2017
4.95499992370605,1.02723586559296,0.394143968820572,0.0329022891819477,0.338464230298996,2017
4.8289999961853,1.05469870567322,0.479246735572815,0.0725094974040985,0.139362379908562,2017
4.80499982833862,1.00726580619812,0.289680689573288,0.0867231488227844,0.0496933571994305,2017
4.77500009536743,0.716249227523804,0.25471106171608,0.0892826020717621,0.114173173904419,2017
4.7350001335144,0.989701807498932,0.282110154628754,0.114381365478039,0.128631442785263,2017
4.71400022506714,1.1614590883255,0.289231717586517,0.0110515309497714,0.113177694380283,2017
4.70900011062622,0.36842092871666,0.318697690963745,0.0710951760411263,0.293040901422501,2017
4.69500017166138,0.564305365085602,0.430388748645782,0.0513066314160824,0.236298456788063,2017
4.69199991226196,1.15687310695648,0.249322608113289,0.048761073499918,0.387242913246155,2017
4.64400005340576,0.996192753314972,0.381498634815216,0.0398642159998417,0.201312944293022,2017
4.60799980163574,0.586682975292206,0.478356659412384,0.123717859387398,0.172255352139473,2017
4.57399988174438,0.964434325695038,0.520303547382355,0.0931469723582268,0.0771337449550629,2017
4.55299997329712,0.560479462146759,0.452763766050339,0.0646413192152977,0.444860309362411,2017
4.55000019073486,0.234305649995804,0.480791091918945,0.179436385631561,0.322228103876114,2017
4.54500007629395,0.367110550403595,0.514492034912109,0.188816204667091,0.838075160980225,2017
4.53499984741211,0.479309022426605,0.377922266721725,0.115460447967052,0.183468893170357,2017
4.51399993896484,0.636406779289246,0.461603492498398,0.0782135501503944,0.249580144882202,2017
4.49700021743774,1.10271048545837,0.288555532693863,0.107215754687786,0.19963726401329,2017
4.46500015258789,1.1982102394104,0.312328577041626,0.0760467872023582,0.0437853783369064,2017
4.46000003814697,0.339233845472336,0.408842742443085,0.165455713868141,0.312650740146637,2017
4.44000005722046,1.00985014438629,0.561213254928589,0.0736539661884308,0.490863561630249,2017
4.37599992752075,0.900596737861633,0.198303267359734,0.0266744215041399,0.0834880918264389,2017
4.31500005722046,0.792221248149872,0.469987004995346,0.0922268852591515,0.231538489460945,2017
4.29199981689453,0.648457288742065,0.0960980430245399,0.136957004666328,0.201870024204254,2017
4.29099988937378,0.808964252471924,0.435025870800018,0.0796181336045265,0.120852127671242,2017
